Année,Mois,Jour,Saison,Consommation (MW),Production (MW),Energies renouvelables (MW),Température moyenne (°C),Température référence (°C),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW)
2013,7,5,2,2298938.0,2700551.0,573975.0,20.3,20.5,95065.0,2031511.0,21792.0,45314.0,472194.0,34675.0
2013,7,6,2,2034241.0,2504451.0,546898.0,21.8,20.6,42079.0,1915474.0,46133.0,49667.0,416754.0,34344.0
2013,7,8,2,2290222.0,2710129.0,628623.0,23.3,20.7,72937.0,2008569.0,101051.0,47016.0,447134.0,33422.0
2013,7,10,2,2382945.0,2748263.0,590215.0,22.3,20.8,123164.0,2034884.0,95519.0,42506.0,417897.0,34293.0
2013,7,12,2,2326420.0,2689414.0,571374.0,20.4,20.9,114641.0,2003399.0,65902.0,48287.0,421788.0,35397.0
2013,7,14,2,1887000.0,2312932.0,452989.0,22.3,21.0,41637.0,1818306.0,43745.0,43791.0,331430.0,34023.0
2013,7,15,2,2287234.0,2628036.0,493313.0,23.3,21.0,144215.0,1990508.0,22951.0,46556.0,390839.0,32967.0
2013,7,16,2,2366624.0,2648343.0,505170.0,23.1,21.1,135139.0,2008034.0,21993.0,42377.0,406300.0,34500.0
2013,7,18,2,2367658.0,2752736.0,554198.0,22.6,21.1,106676.0,2091862.0,72075.0,36412.0,411526.0,34185.0
2013,7,21,2,1929660.0,2414492.0,427951.0,25.3,21.2,42559.0,1943982.0,30675.0,44794.0,316021.0,36461.0
2013,7,22,2,2333524.0,2699298.0,521365.0,25.9,21.2,106736.0,2071197.0,18774.0,42966.0,425185.0,34440.0
2013,7,23,2,2388481.0,2695099.0,515011.0,23.7,21.2,146669.0,2033419.0,22804.0,37122.0,420892.0,34193.0
2013,7,24,2,2371577.0,2706659.0,519339.0,22.9,21.2,148595.0,2038725.0,16157.0,39212.0,429510.0,34460.0
2013,7,25,2,2393306.0,2780103.0,513028.0,24.2,21.2,165572.0,2101503.0,21450.0,41937.0,415386.0,34255.0
2013,7,29,2,2133895.0,2609054.0,573627.0,20.1,21.2,131787.0,1903640.0,89999.0,34832.0,417241.0,31555.0
2013,7,30,2,2189660.0,2642919.0,586409.0,20.6,21.2,111624.0,1944886.0,124272.0,38367.0,390864.0,32906.0
2013,7,31,2,2219145.0,2621027.0,550403.0,22.8,21.2,112987.0,1957637.0,44938.0,44297.0,427204.0,33964.0
2013,8,5,2,2082271.0,2574948.0,472247.0,22.7,21.0,130179.0,1972522.0,64232.0,39476.0,335949.0,32590.0
2013,8,6,2,2096947.0,2585893.0,439265.0,20.9,21.0,164255.0,1982373.0,25325.0,32260.0,349273.0,32407.0
2013,8,9,2,2002494.0,2628792.0,547110.0,19.6,20.8,70571.0,2011111.0,73468.0,38431.0,398732.0,36479.0
2013,8,10,2,1833245.0,2389007.0,433757.0,19.3,20.8,45913.0,1909337.0,52659.0,42616.0,301891.0,36591.0
2013,8,12,2,1972439.0,2484689.0,444432.0,20.2,20.7,45744.0,1994513.0,36543.0,41851.0,331937.0,34101.0
2013,8,15,2,1825966.0,2321158.0,340968.0,20.4,20.4,44264.0,1935926.0,15894.0,45231.0,243870.0,35973.0
2013,8,18,2,1779705.0,2189811.0,330983.0,21.4,20.2,44479.0,1814349.0,77663.0,35660.0,182116.0,35544.0
2013,8,20,2,2084542.0,2541190.0,383050.0,19.2,20.0,189056.0,1969084.0,45295.0,46221.0,256738.0,34796.0
2013,8,23,2,2140064.0,2536877.0,408410.0,22.0,19.8,197553.0,1930914.0,35212.0,36446.0,301964.0,34788.0
2013,8,25,2,1794032.0,2207234.0,335432.0,16.3,19.5,84492.0,1787310.0,64250.0,26531.0,209780.0,34871.0
2013,8,26,2,2122509.0,2421301.0,368624.0,17.8,19.4,192001.0,1860676.0,38981.0,31106.0,266269.0,32268.0
2013,8,27,2,2225720.0,2567259.0,403184.0,18.2,19.3,268396.0,1895679.0,39637.0,30512.0,300227.0,32808.0
2013,8,29,2,2257208.0,2545616.0,361864.0,18.6,19.1,281138.0,1902614.0,22593.0,38447.0,265772.0,35052.0
2013,8,30,2,2241233.0,2524570.0,321138.0,19.1,19.0,260765.0,1942667.0,26777.0,39445.0,219701.0,35215.0
2013,8,31,2,1982590.0,2352224.0,302373.0,19.1,18.9,129966.0,1919885.0,43878.0,35247.0,188572.0,34676.0
2013,9,2,2,2204655.0,2535147.0,370408.0,18.1,18.7,180997.0,1983742.0,45397.0,44161.0,247816.0,33034.0
2013,9,3,2,2305181.0,2666216.0,403810.0,19.7,18.5,245195.0,2017211.0,22614.0,44844.0,302862.0,33490.0
2013,9,4,2,2342439.0,2646618.0,408490.0,22.1,18.4,272809.0,1965319.0,33349.0,44196.0,298516.0,32429.0
2013,9,6,2,2298676.0,2603192.0,387767.0,19.3,18.2,237962.0,1977463.0,46721.0,28670.0,278470.0,33906.0
2013,9,9,2,2217914.0,2619716.0,430413.0,15.8,17.8,177363.0,2011940.0,94334.0,31347.0,272591.0,32141.0
2013,9,10,2,2268628.0,2579612.0,433376.0,15.8,17.7,221789.0,1924447.0,81293.0,30335.0,289649.0,32099.0
2013,9,12,2,2346477.0,2764135.0,409146.0,15.1,17.4,256641.0,2098348.0,38750.0,23378.0,314387.0,32631.0
2013,9,13,2,2319490.0,2712825.0,416245.0,16.6,17.3,199539.0,2097041.0,44584.0,26724.0,311997.0,32940.0
2013,9,14,2,2045982.0,2430466.0,384003.0,16.2,17.2,81653.0,1964810.0,79943.0,22994.0,248046.0,33020.0
2013,9,15,2,1907073.0,2426685.0,375978.0,14.9,17.0,66074.0,1984633.0,111217.0,24047.0,208735.0,31979.0
2013,9,16,2,2284915.0,2665291.0,479335.0,14.1,16.9,152173.0,2033783.0,148459.0,21276.0,280130.0,29470.0
2013,9,21,2,2038740.0,2395404.0,372956.0,15.9,16.3,136498.0,1885950.0,21498.0,36100.0,284194.0,31164.0
2013,9,22,2,1894888.0,2299889.0,330375.0,17.4,16.1,94220.0,1875294.0,21109.0,36727.0,240944.0,31595.0
2013,9,23,2,2253761.0,2526416.0,400153.0,17.9,16.0,141695.0,1984568.0,45207.0,40264.0,283625.0,31057.0
2013,9,24,2,2320048.0,2695493.0,399587.0,17.8,15.9,243020.0,2052886.0,31810.0,38405.0,297717.0,31655.0
2013,9,25,2,2332002.0,2650933.0,377591.0,18.5,15.7,250330.0,2023012.0,8030.0,30100.0,307422.0,32039.0
2013,9,26,2,2334837.0,2589142.0,364334.0,19.4,15.6,274466.0,1950342.0,20741.0,26695.0,284496.0,32402.0
2013,9,28,2,2026830.0,2360558.0,358995.0,18.9,15.3,117626.0,1883937.0,90146.0,17231.0,218709.0,32909.0
2013,9,29,2,1894442.0,2239228.0,297876.0,17.1,15.2,51715.0,1889637.0,45457.0,17366.0,203548.0,31505.0
2013,10,1,3,2340792.0,2647459.0,369227.0,16.9,15.0,265256.0,2012976.0,32559.0,23588.0,282390.0,30690.0
2013,10,3,3,2362575.0,2642154.0,466672.0,18.8,14.7,213082.0,1962400.0,142110.0,17555.0,274838.0,32169.0
2013,10,4,3,2326482.0,2589396.0,430574.0,18.1,14.6,221410.0,1937412.0,92642.0,10941.0,295322.0,31669.0
2013,10,6,3,1914230.0,2326564.0,332364.0,15.2,14.3,103472.0,1890728.0,33497.0,23025.0,244401.0,31441.0
2013,10,8,3,2364911.0,2691073.0,383648.0,15.1,14.0,336838.0,1970587.0,15981.0,22060.0,314973.0,30634.0
2013,10,10,3,2475284.0,2779434.0,484762.0,11.3,13.8,332943.0,1961729.0,145425.0,18893.0,288809.0,31635.0
2013,10,11,3,2552753.0,2724294.0,403890.0,9.2,13.6,296930.0,2023474.0,62249.0,22668.0,286940.0,32033.0
2013,10,13,3,2257838.0,2476691.0,397541.0,9.8,13.4,128595.0,1950555.0,95492.0,24356.0,245397.0,32296.0
2013,10,14,3,2580278.0,2757271.0,446894.0,13.0,13.2,289470.0,2020907.0,91534.0,18359.0,306170.0,30831.0
2013,10,15,3,2620501.0,2766920.0,451476.0,13.6,13.1,291419.0,2024025.0,67518.0,8989.0,345132.0,29837.0
2013,10,16,3,2626206.0,2801986.0,517309.0,14.3,13.0,284149.0,2000528.0,96160.0,17839.0,372247.0,31063.0
2013,10,18,3,2516830.0,2798143.0,475353.0,13.4,12.7,255117.0,2067673.0,67003.0,24345.0,352066.0,31939.0
2013,10,19,3,2215302.0,2538084.0,499264.0,15.7,12.6,87330.0,1951490.0,126215.0,16335.0,323718.0,32996.0
2013,10,20,3,2037134.0,2420089.0,456998.0,16.0,12.4,88677.0,1874414.0,140545.0,16202.0,268510.0,31741.0
2013,10,21,3,2380142.0,2702516.0,509865.0,16.6,12.3,205616.0,1987035.0,122683.0,18793.0,337003.0,31386.0
2013,10,23,3,2417984.0,2750902.0,537196.0,16.9,12.0,177472.0,2036234.0,169508.0,19166.0,316160.0,32362.0
2013,10,24,3,2440636.0,2756930.0,469352.0,14.9,11.9,225295.0,2062283.0,76747.0,21611.0,337941.0,33053.0
2013,10,27,3,2008841.0,2473989.0,563858.0,15.8,11.4,43786.0,1866345.0,266021.0,16488.0,246778.0,34571.0
2013,11,1,3,2393709.0,2669634.0,440076.0,10.7,10.7,141378.0,2088180.0,106587.0,12010.0,282936.0,38543.0
2013,11,2,3,2292008.0,2701446.0,519978.0,14.2,10.6,113958.0,2067510.0,198670.0,11990.0,271703.0,37615.0
2013,11,4,3,2723391.0,3030483.0,658331.0,10.8,10.3,247801.0,2124351.0,211283.0,6947.0,403361.0,36740.0
2013,11,5,3,2897001.0,3198037.0,660238.0,10.1,10.1,302208.0,2235591.0,176858.0,7373.0,439757.0,36250.0
2013,11,13,3,2984292.0,3219206.0,563734.0,8.6,9.0,384765.0,2270707.0,84822.0,14228.0,429378.0,35306.0
2013,11,16,3,2949084.0,3231965.0,544749.0,5.2,8.5,288693.0,2398523.0,65754.0,12772.0,428866.0,37357.0
2013,11,20,3,3480285.0,3525334.0,650658.0,3.8,8.0,444311.0,2430365.0,157382.0,11774.0,444777.0,36725.0
2013,11,23,3,3227792.0,3372430.0,607151.0,5.0,7.5,337638.0,2427641.0,132719.0,6743.0,429410.0,38279.0
2013,11,24,3,3010802.0,3229273.0,562404.0,6.0,7.4,279023.0,2387846.0,126653.0,8049.0,389318.0,38384.0
2013,11,25,3,3345947.0,3399025.0,581983.0,5.6,7.3,433026.0,2384016.0,95959.0,15568.0,432914.0,37542.0
2013,11,27,3,3514955.0,3438650.0,518091.0,3.3,7.0,461716.0,2458843.0,36748.0,17247.0,427193.0,36903.0
2013,11,29,3,3545152.0,3574897.0,585573.0,5.1,6.8,439832.0,2549492.0,78895.0,11909.0,456820.0,37949.0
2013,12,2,3,3439682.0,3564288.0,583500.0,5.1,6.4,414839.0,2565949.0,125937.0,11837.0,409013.0,36713.0
2013,12,4,3,3627775.0,3626665.0,534436.0,4.4,6.2,462005.0,2630224.0,38103.0,15496.0,444988.0,35849.0
2013,12,5,3,3548668.0,3641827.0,601363.0,5.4,6.1,456758.0,2583706.0,131333.0,11600.0,422328.0,36102.0
2013,12,6,3,3452028.0,3521851.0,574228.0,6.1,6.0,394137.0,2553486.0,118314.0,13532.0,404384.0,37998.0
